MSFT,365
ACN,1130
AAPL,1322
TATA MOTORS,2416
SBIN,587
AMZN,387
ACN,1330
RELIANCE,111
HDFC BANK,1809
ITC,1379
ITC,421
SBIN,1625
tsla,1711
tsla,1790
SBIN,1626
HDFC BANK,72
ACN,2427
TATA MOTORS,1351
RELIANCE,2094
SBIN,1347
AMZN,1543
HDFC BANK,1224
RELIANCE,1240
AMZN,1095
TATA MOTORS,1304
AAPL,1473
ACN,1243
MSFT,751
AAPL,1953
MSFT,1380
RELIANCE,1079
SBIN,352
AMZN,649
AAPL,529
MSFT,865
ACN,1274
ACN,597
HDFC BANK,1654
HDFC BANK,1477
SBIN,255
HDFC BANK,665
ITC,1953
RELIANCE,2480
AMZN,1645
ACN,1307
AAPL,74
ACN,2068
RELIANCE,519
MSFT,829
MSFT,1721
AMZN,787
AMZN,2282
AAPL,1578
TATA MOTORS,2419
SBIN,1518
AAPL,222
SBIN,1344
RELIANCE,1528
AAPL,1255
MSFT,330
HDFC BANK,801
AAPL,2326
MSFT,844
AAPL,1123
HDFC BANK,1001
TATA MOTORS,1076
HDFC BANK,2007
RELIANCE,1570
SBIN,556
SBIN,1036
AAPL,1606
MSFT,1006
tsla,207
HDFC BANK,652
ITC,1134
SBIN,501
TATA MOTORS,700
SBIN,623
ACN,202
ACN,755
tsla,432
ITC,302
TATA MOTORS,752
ACN,2248
SBIN,2484
ITC,1920
TATA MOTORS,1988
SBIN,1467
AMZN,1326
HDFC BANK,1814
AMZN,1541
tsla,173
tsla,2479
ACN,892
MSFT,1553
RELIANCE,315
ACN,1747
tsla,2282
tsla,1520
HDFC BANK,295
AMZN,1015
SBIN,2174
RELIANCE,289
SBIN,1403
HDFC BANK,951
tsla,481
SBIN,276
tsla,1417
RELIANCE,1432
RELIANCE,1116
AMZN,105
ACN,423
RELIANCE,1202
tsla,2314
MSFT,2438
ITC,2092
SBIN,1377
ACN,461
AAPL,1982
TATA MOTORS,1764
HDFC BANK,556
SBIN,1612
MSFT,1648
HDFC BANK,741
HDFC BANK,2373
AMZN,517
MSFT,642
ACN,1946
RELIANCE,2044
ITC,2453
ITC,1211
TATA MOTORS,144
AAPL,1444
MSFT,1510
ITC,1535
RELIANCE,505
RELIANCE,545
AAPL,1857
ITC,274
MSFT,80
MSFT,1017
tsla,1881
SBIN,1481
MSFT,2163
ITC,1038
RELIANCE,1508
SBIN,1698
AAPL,1848
TATA MOTORS,881
RELIANCE,1283
RELIANCE,1623
ITC,1534
ITC,2065
ITC,2333
TATA MOTORS,445
tsla,923
ACN,927
AMZN,2022
tsla,1508
ACN,1530
AMZN,581
AAPL,640
ITC,1139
MSFT,1475
SBIN,933
AMZN,214
AMZN,512
ITC,1831
TATA MOTORS,1960
tsla,2057
SBIN,1171
TATA MOTORS,1565
HDFC BANK,1134
RELIANCE,349
AAPL,364
RELIANCE,1090
ACN,1467
ITC,2096
ITC,476
AMZN,194
AMZN,2341
HDFC BANK,2102
HDFC BANK,38
MSFT,1644
tsla,828
TATA MOTORS,1980
ACN,1818
tsla,2479
MSFT,1853
SBIN,563
AMZN,1733
HDFC BANK,507
TATA MOTORS,1273
RELIANCE,1082
MSFT,314
AMZN,1770
HDFC BANK,1388
TATA MOTORS,1147
SBIN,1727
ITC,341
SBIN,1715
MSFT,2165
RELIANCE,887
AMZN,2314
MSFT,839
RELIANCE,499
RELIANCE,2298
AMZN,1714
HDFC BANK,856
ACN,721
tsla,15
ACN,1390
TATA MOTORS,1539
RELIANCE,2052
AMZN,1047
SBIN,367
tsla,1945
ACN,2083
RELIANCE,397
TATA MOTORS,2014
ITC,350
SBIN,67
SBIN,1273
MSFT,705
TATA MOTORS,1485
AAPL,180
SBIN,2392
RELIANCE,78
MSFT,751
